platform,listing_id,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
airbnb,31796168,Apartment in Beirut,Beirut,2,1,58.8,4.82,108,44,19/11/2025 11:43
airbnb,882530573534913881,Just Need a Place to Sleep in badaro beirut,Beirut,1,,18.8,4.74,19,15,19/11/2025 11:43
airbnb,1475935068249754248,Apartment in Beirut,Beirut,1,2,83,5,3,20,19/11/2025 11:43
airbnb,1167189354305661309,Apartment in Beirut,Beirut,2,1,75.4,5,3,31,19/11/2025 11:43
airbnb,924711354092763703,Home in El Ftaha,El Ftaha,2,3,278.6,5,21,36,19/11/2025 11:43
airbnb,968232188192433347,Apartment in Beirut,Beirut,1,1,49.8,4.71,14,17,19/11/2025 11:43
airbnb,578651102195772154,Loft in Beirut,Beirut,1,1,77,4.79,53,28,19/11/2025 11:44
airbnb,1051305321040166014,Apartment in Beirut,Beirut,1,1,36.2,4.89,36,25,19/11/2025 11:44
airbnb,1033116311427738993,Apartment in Beirut,Beirut,1,1,75.4,4.74,27,39,19/11/2025 11:44
airbnb,48190860,Apartment in Kfardebian,Kfardebian,2,2,121,4.82,82,68,19/11/2025 11:44
airbnb,1379839331789666456,Apartment in Beirut,Beirut,1,1,60,4.86,7,19,19/11/2025 11:44
airbnb,1312369790465003054,Apartment in Zakrit,Zakrit,2,2,40.8,4.86,14,49,19/11/2025 11:44
airbnb,1389597490207218874,Apartment in Beirut,Beirut,2,1,57,4.83,12,34,19/11/2025 11:44
airbnb,1451307135783467315,Casa Bassel,Tripoli District,1,1,15,5,,10,19/11/2025 11:44
airbnb,1338185933243856243,Apartment in Beirut,Beirut,2,2,179.4,4.75,16,51,19/11/2025 11:44
airbnb,1139961068675108749,Apartment in Beirut,Beirut,1,1,51.4,4.95,55,41,19/11/2025 11:44
airbnb,1122563211312042844,Condo in Balluna,Balluna,3,2,77,4.67,6,55,19/11/2025 11:44
airbnb,914189227072980415,Apartment in Fanar,Fanar,2,2,84,4.75,16,32,19/11/2025 11:44
airbnb,1497912727159293015,Apartment in Beirut,Beirut,1,1,54.6,5,8,8,19/11/2025 11:44
airbnb,1035371365953004973,Apartment in Beirut,Beirut,1,1,46.6,4.65,34,41,19/11/2025 11:44
airbnb,1452751965685343795,Apartment in حازمية,حازمية,2,3,178.2,5,,46,19/11/2025 11:44
airbnb,28974047,Apartment in Mar Mikhael,Mar Mikhael,3,1,91.2,4.84,116,29,19/11/2025 11:44
airbnb,600139965802675985,Apartment in Beirut,Beirut,1,1,80,4.91,78,64,19/11/2025 11:44
airbnb,1515843814145614203,Apartment in Beirut,Beirut,1,1,78,5,,37,19/11/2025 11:44
airbnb,22132990,Guesthouse in Beirut,Beirut,,1,96,4.95,145,22,19/11/2025 11:45
airbnb,994185145779030289,Apartment in Beirut,Beirut,2,1,75.4,4.72,25,51,19/11/2025 11:45
airbnb,664468577262467820,Apartment in Smare Jbeil,Smare Jbeil,1,1,58.2,5,18,39,19/11/2025 11:45
airbnb,1202754990592502021,Apartment in Aley,Aley,1,1,53,5,,30,19/11/2025 11:45
airbnb,586078543349791024,Cottage in Ed Debbiye,Ed Debbiye,2,1,76.6,5,23,37,19/11/2025 11:45
airbnb,1071554185757283679,Areca Room,Beirut,1,,31,4.6,5,36,19/11/2025 11:45
airbnb,697691917904180376,Loft in Mtaileb,Mtaileb,1,1,40,5,60,35,19/11/2025 11:45
airbnb,1350706856019325889,Home in Batroun,Batroun,1,1,84.6,5,51,26,19/11/2025 11:45
