platform,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
Stayinn,"Cozy 1-BR / Bahsa, Batroun",Batroun,1,1,113.0,5.0,52,36,2025-11-22T06:30:29.966784
Stayinn,"Cozy 1-BR / Bahsa, Batroun",Batroun,1,1,133.0,5.0,52,36,2025-11-20T06:32:43.226049
airbnb,Comfy Double Room,Beirut,1,1,23.0,4.9,52,35,19/11/2025 11:40
airbnb,Apartment in Beirut,Beirut,1,1,128.0,4.94,52,31,19/11/2025 11:37
Stayinn,"Amine 503, Studio in Mar Mikhael",Beirut,1,1,82.0,5.0,51,47,2025-11-24T06:34:32.253044
Stayinn,"Amine 503, Studio in Mar Mikhael",Beirut,1,1,83.0,5.0,51,47,2025-11-21T06:34:32.459572
Stayinn,"Amine 503, Studio in Mar Mikhael",Beirut,1,1,81.0,5.0,51,47,2025-11-22T06:30:39.678579
Stayinn,"Amine 503, Studio in Mar Mikhael",Beirut,1,1,84.0,5.0,51,47,2025-11-19T14:27:02.815695
airbnb,Home in Batroun,Batroun,1,1,84.6,5.0,51,26,19/11/2025 11:45
airbnb,Home in Kfardebian,Kfardebian,3,2,159.6,4.96,51,70,19/11/2025 11:37
Stayinn,Elva Faqra | Duplex 3-BR w/ Pool & Balcony,Faqra,3,1,173.0,5.0,5,53,2025-11-21T06:33:18.486119
Stayinn,The Cube 13R in Sin El Fil,Beirut,1,1,158.385148005148,5.0,5,35,2025-11-19T14:26:47.356058
Stayinn,Light House - Duplex Studio in Batroun Souk,Batroun,1,1,102.0,5.0,5,40,2025-11-20T06:31:49.639247
Stayinn,Elva Faqra | Duplex 3-BR w/ Pool & Balcony,Faqra,3,1,162.0,5.0,5,53,2025-11-20T06:31:41.282188
Stayinn,Light House - Duplex Studio in Batroun Souk,Batroun,1,1,100.0,5.0,5,40,2025-11-22T06:29:43.417527
Stayinn,The Square House - Berbara,Berbara,1,1,72.0,5.0,5,39,2025-11-19T14:25:33.084089
Stayinn,The Square House - Berbara,Berbara,1,1,70.0,5.0,5,39,2025-11-23T06:30:34.529394
Stayinn,The Square House - Berbara,Berbara,1,1,80.0,5.0,5,39,2025-11-21T06:33:02.758100
Stayinn,The Square House - Berbara,Berbara,1,1,83.0,5.0,5,39,2025-11-20T06:31:26.380047
Stayinn,Elva Faqra | Duplex 3-BR w/ Pool & Balcony,Faqra,3,1,176.0,5.0,5,53,2025-11-24T06:33:20.348384
Stayinn,Elva Faqra | Duplex 3-BR w/ Pool & Balcony,Faqra,3,1,161.0,5.0,5,53,2025-11-22T06:29:36.738270
Stayinn,Elva Faqra | Duplex 3-BR w/ Pool & Balcony,Faqra,3,1,187.0,5.0,5,53,2025-11-19T14:25:47.931358
Stayinn,The Square House - Berbara,Berbara,1,1,79.0,5.0,5,39,2025-11-22T06:29:23.877763
airbnb,Apartment in Beirut,Beirut,1,1,29.4,5.0,5,28,19/11/2025 11:48
airbnb,Areca Room,Beirut,1,1,31.0,4.6,5,36,19/11/2025 11:45
airbnb,Home in Haqel,Haqel,2,2,191.0,4.8,5,48,19/11/2025 11:46
airbnb,Apartment in Batroun,Batroun,1,1,72.8,4.8,5,37,19/11/2025 11:40
